Name,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Mercer County, Missouri",3702.0,42.76066990815775,1583.0,74.35249526216046,1177.0,7.138344914718889,113.0,1.010739102969046,16.0,6.82248894504106,108.0,1.0739102969046115,17.0,40.4955493,-93.66232389999999
"Miller County, Missouri",25011.0,42.76918156011355,10697.0,74.22641862204357,7940.0,17.73394409647565,1897.0,0.03739366177432925,4.0,1.9818640740394504,212.0,1.916425165934374,205.0,38.2081417,-92.38136209999999
"Mississippi County, Missouri",14112.0,34.807256235827666,4912.0,77.25977198697068,3795.0,15.594462540716613,766.0,0.30537459283387625,15.0,3.257328990228013,160.0,0.6514657980456027,32.0,36.8661576,-89.3226954
"Moniteau County, Missouri",15840.0,42.41161616161616,6718.0,79.36885977969635,5332.0,12.74188746650789,856.0,0.3870199464126228,26.0,1.9053289669544509,128.0,2.5751711818993748,173.0,38.5827118,-92.5792482
"Monroe County, Missouri",8642.0,44.22587364036103,3822.0,78.283621140764,2992.0,12.140240711669282,464.0,0.0,0.0,2.250130821559393,86.0,1.9623233908948194,75.0,39.5508815,-92.0665197
"Montgomery County, Missouri",11820.0,42.01353637901861,4966.0,82.21908981071284,4083.0,9.625453080950464,478.0,0.6242448650825614,31.0,2.83930728956907,141.0,0.8256141763995167,41.0,38.9365599,-91.4821482
"Morgan County, Missouri",20182.0,34.491130710534144,6961.0,68.71139204137336,4783.0,15.90288751616147,1107.0,0.02873150409423933,2.0,4.941818704209165,344.0,5.142939232868841,358.0,38.3661344,-92.8577105
"New Madrid County, Missouri",18229.0,37.637829831587034,6861.0,83.9819268328232,5762.0,8.526453869698294,585.0,0.2769275615799446,19.0,2.973327503279405,204.0,0.5975805276198805,41.0,36.5227538,-89.77553379999999
"Newton County, Missouri",58741.0,44.06632505405083,25885.0,82.34498744446591,21315.0,10.797759320069538,2795.0,0.09658103148541626,25.0,1.336681475758161,346.0,1.4332625072435774,371.0,36.9618494,-94.315422
"Nodaway County, Missouri",23026.0,48.30626248588552,11123.0,76.2024633642003,8476.0,12.424705565045402,1382.0,0.19778836644790077,22.0,5.879708711678504,654.0,1.9059606221343162,212.0,40.2907281,-94.81059549999999
"Oregon County, Missouri",10922.0,36.08313495696759,3941.0,81.34991119005328,3206.0,8.500380614057345,335.0,1.8269474752600865,72.0,1.8269474752600865,72.0,2.3090586145648313,91.0,36.6870089,-91.44346900000001
"Osage County, Missouri",13704.0,48.759486281377704,6682.0,78.71894642322658,5260.0,16.102963184675247,1076.0,0.074827895839569,5.0,1.5264890751272073,102.0,1.0176593834181382,68.0,38.3853377,-91.9099238
"Ozark County, Missouri",9450.0,32.24338624338625,3047.0,79.4880210042665,2422.0,13.652773219560224,416.0,0.1969149983590417,6.0,1.608139153265507,49.0,0.6563833278634723,20.0,36.6720061,-92.38136209999999
